2012-15:26
2012-16:145
2012-17:569
2012-18:477
2012-19:448
2012-20:427
2012-21:480
2012-22:481
2012-23:971
2012-24:754
2012-41:8
2012-42:1
2012-45:5
2012-46:15
2012-47:22
2012-48:21
2012-49:19
2012-50:23
2012-51:35
2012-52:49
2013-1:52
2013-2:35
2013-3:48
2013-4:56
